transaction_id,account_id,amount,date,name,merchant_name,category
txn_001,acc_001,-1200.00,2026-10-05,Roanoke Plumbing Services,Roanoke Plumbing Services,HOME_IMPROVEMENT
txn_002,acc_001,-850.00,2026-10-01,NFCU MORTGAGE AUTO PAY,Navy Federal Credit Union,MORTGAGE
txn_003,acc_001,-187.50,2026-09-28,FOOD LION #472,Food Lion,GROCERIES
txn_004,acc_001,-45.00,2026-10-03,SHENTEL CABLE OPT,Shentel,UTILITIES
txn_005,acc_001,-62.30,2026-10-06,EXXONMOBIL 32981,ExxonMobil,TRANSPORTATION
txn_006,acc_001,1800.00,2026-10-01,DIRECT DEPOSIT - USN,US Navy,PAYROLL
txn_007,acc_001,-75.00,2026-09-29,BASS PRO SHOPS,Bass Pro Shops,SHOPPING
txn_008,acc_001,-33.00,2026-10-02,NETFLIX.COM,Netflix,ENTERTAINMENT
txn_009,acc_002,500.00,2026-10-01,AUTO TRANSFER SAVINGS,Auto Transfer,TRANSFER
txn_010,acc_003,-847.33,2026-09-30,CREDIT CARD PAYMENT,Payment,PAYMENT
txn_011,acc_001,-28.99,2026-10-08,LOWE'S #02586,Lowes,HOME_IMPROVEMENT
txn_012,acc_001,-15.00,2026-10-09,DOMINO'S PIZZA #7241,Domino's Pizza,FOOD_AND_DRINK
txn_013,acc_001,-120.00,2026-10-10,AMAZON.COM,Amazon.com,SHOPPING
